"age","number","year"
1,710.27,1995
2,3109.003,1995
3,3156.98,1995
4,2008.724,1995
5,988.201,1995
6,NA,1995
7,NA,1995
8,NA,1995
9,NA,1995
10,NA,1995
1,536.759,1996
2,2964.306,1996
3,2107.364,1996
4,2725.255,1996
5,2943.411,1996
6,NA,1996
7,NA,1996
8,NA,1996
9,NA,1996
10,NA,1996
1,303.853,1997
2,2177.198,1997
3,2900.547,1997
4,4780.612,1997
5,4103.001,1997
6,NA,1997
7,NA,1997
8,NA,1997
9,NA,1997
10,NA,1997
1,1064.749,1998
2,1414.675,1998
3,1224.178,1998
4,2556.908,1998
5,4519.133,1998
6,NA,1998
7,NA,1998
8,NA,1998
9,NA,1998
10,NA,1998
1,3758.547,1999
2,2482.463,1999
3,2241.208,1999
4,3829.471,1999
5,7078.75,1999
6,NA,1999
7,NA,1999
8,NA,1999
9,NA,1999
10,NA,1999
1,7837.73,2000
2,4379.852,2000
3,5353.888,2000
4,3903.015,2000
5,3403.837,2000
6,NA,2000
7,NA,2000
8,NA,2000
9,NA,2000
10,NA,2000
1,11868.191,2001
2,14700.504,2001
3,2891.053,2001
4,3488.63,2001
5,4482.542,2001
6,NA,2001
7,NA,2001
8,NA,2001
9,NA,2001
10,NA,2001
1,7283.634,2002
2,26214.574,2002
3,13827.093,2002
4,2612.231,2002
5,8179.153,2002
6,NA,2002
7,NA,2002
8,NA,2002
9,NA,2002
10,NA,2002
1,3745.007,2003
2,19633.213,2003
3,12265.478,2003
4,9852.468,2003
5,9504.966,2003
6,NA,2003
7,NA,2003
8,NA,2003
9,NA,2003
10,NA,2003
1,628.048,2004
2,19765.747,2004
3,16999.312,2004
4,10526.894,2004
5,14115.209,2004
6,NA,2004
7,NA,2004
8,NA,2004
9,NA,2004
10,NA,2004
1,833.658,2005
2,7331.114,2005
3,22385.263,2005
4,18812.72,2005
5,16090.138,2005
6,NA,2005
7,NA,2005
8,NA,2005
9,NA,2005
10,NA,2005
1,376.01,2006
2,1886.588,2006
3,4509.873,2006
4,32079.627,2006
5,10520.169,2006
6,1915.511,2006
7,2784.373,2006
8,1498.533,2006
9,577.294,2006
10,3323.996,2006
1,228.981,2007
2,1457.116,2007
3,3380.796,2007
4,12185.422,2007
5,25550.844,2007
6,10645.18,2007
7,5547.139,2007
8,3264.009,2007
9,1772.44,2007
10,4353.037,2007
1,240.936,2008
2,1598.361,2008
3,2193.796,2008
4,10027.259,2008
5,20118.415,2008
6,15401.653,2008
7,9053.28,2008
8,4003.017,2008
9,1636.859,2008
10,6188.527,2008
1,122.931,2009
2,702.125,2009
3,1504.125,2009
4,2533.768,2009
5,4192.241,2009
6,6614.635,2009
7,23618.853,2009
8,13618.3,2009
9,4441.799,2009
10,7638.615,2009
1,123.266,2010
2,424.411,2010
3,917.01,2010
4,1351.867,2010
5,2811.099,2010
6,3997.604,2010
7,6437.601,2010
8,23540.144,2010
9,13344.778,2010
10,15361.613,2010
1,131.698,2011
2,292.496,2011
3,412.526,2011
4,490.003,2011
5,1020.072,2011
6,1477.796,2011
7,2936.749,2011
8,6514.44,2011
9,24945.607,2011
10,18865.298,2011
1,173.444,2012
2,440.8,2012
3,410.135,2012
4,452.557,2012
5,794.919,2012
6,1838.311,2012
7,1687.703,2012
8,2676.236,2012
9,5412.354,2012
10,39055.712,2012
1,480.555,2013
2,521.454,2013
3,373.118,2013
4,429.617,2013
5,1031.137,2013
6,1384.29,2013
7,1048.005,2013
8,1139.002,2013
9,3191.723,2013
10,44755.548,2013
1,711.344,2014
2,1116.15,2014
3,1139.596,2014
4,650.714,2014
5,372.403,2014
6,465.029,2014
7,629.284,2014
8,875.678,2014
9,1754.827,2014
10,53665.675,2014
1,356.355,2015
2,960.547,2015
3,1083.365,2015
4,1026.311,2015
5,745.313,2015
6,364.097,2015
7,296.278,2015
8,439.096,2015
9,960.39,2015
10,61584.605,2015
1,419.915,2016
2,1911.266,2016
3,2576.558,2016
4,3351.072,2016
5,1526.715,2016
6,1097.951,2016
7,787.936,2016
8,1045.893,2016
9,936.159,2016
10,57016.504,2016
1,189.934,2017
2,526.702,2017
3,647.081,2017
4,2271.128,2017
5,1242.31,2017
6,764.178,2017
7,1076.409,2017
8,793.691,2017
9,1164.43,2017
10,51516.65,2017
1,87.955,2018
2,131.464,2018
3,343.926,2018
4,699.914,2018
5,1134.037,2018
6,1515.615,2018
7,1690.661,2018
8,1741.119,2018
9,2661.833,2018
10,41257.681,2018
1,36.842228,2019
2,178.678000397661,2019
3,405.308756292398,2019
4,489.603220754386,2019
5,530.243122555555,2019
6,643.7041825,2019
7,759.841391,2019
8,1165.3447755,2019
9,1110.40123786842,2019
10,55903.9306351316,2019
1,20.3805274431212,2020
2,106.693286831591,2020
3,405.428421062464,2020
4,199.678342709477,2020
5,611.920587914902,2020
6,471.378631225694,2020
7,902.75417888125,2020
8,5553.71960827321,2020
9,3393.8558442625,2020
10,50847.7637577548,2020
