"year","value","label"
1995,NA,"漁獲割合"
1996,21.2081096395336,"漁獲割合"
1997,14.7489059755471,"漁獲割合"
1998,12.7190439086459,"漁獲割合"
1999,12.6868781807283,"漁獲割合"
2000,10.3860764143702,"漁獲割合"
2001,10.7041807349227,"漁獲割合"
2002,9.97448766021309,"漁獲割合"
2003,12.9986847039393,"漁獲割合"
2004,8.31618638866767,"漁獲割合"
2005,9.52771571254322,"漁獲割合"
2006,12.2081411141544,"漁獲割合"
2007,10.2809539039635,"漁獲割合"
2008,8.94904483919215,"漁獲割合"
2009,9.81700986727079,"漁獲割合"
2010,7.97589257323725,"漁獲割合"
2011,4.76929220859935,"漁獲割合"
2012,6.97241452771903,"漁獲割合"
2013,4.62792033200571,"漁獲割合"
2014,4.28360183252662,"漁獲割合"
2015,4.57522678129873,"漁獲割合"
2016,4.02921103672004,"漁獲割合"
2017,4.08844355705186,"漁獲割合"
2018,5.20547462001284,"漁獲割合"
2019,3.98652830684727,"漁獲割合"
2020,3.09020393347477,"漁獲割合"
1995,NA,"F値"
1996,0.254449484382699,"F値"
1997,0.171325441548017,"F値"
1998,0.144373070169318,"F値"
1999,0.145145277727215,"F値"
2000,0.116410143009973,"F値"
2001,0.120509553524852,"F値"
2002,0.111997974464011,"F値"
2003,0.146919753370492,"F値"
2004,0.0931119673072221,"F値"
2005,0.10638928916888,"F値"
2006,0.138009819387079,"F値"
2007,0.115948063517104,"F値"
2008,0.0996914982192992,"F値"
2009,0.10988467177632,"F値"
2010,0.0887319918891007,"F値"
2011,0.0522257384555674,"F値"
2012,0.0768007451972247,"F値"
2013,0.05067302074418,"F値"
2014,0.0466417102078758,"F値"
2015,0.0497787483432642,"F値"
2016,0.0437985068888112,"F値"
2017,0.0444780399264634,"F値"
2018,0.0568584972052424,"F値"
2019,0.0434611102151269,"F値"
2020,0.0334313848873078,"F値"
